,Year,Series,Value
Djibouti,2016,Consumer price index: General,115.5592
Djibouti,2017,Consumer price index: General,116.2158
Dominica,1995,Consumer price index: General,74.7456
Dominica,2005,Consumer price index: General,86.0058
Dominica,2010,Consumer price index: General,100
Dominica,2015,Consumer price index: General,102.4625
Dominica,2016,Consumer price index: General,102.6995
Dominica,2017,Consumer price index: General,103.06
Dominica,2015,Consumer price index: Food,110.9133
Dominica,2016,Consumer price index: Food,110.92
Dominica,2017,Consumer price index: Food,111.1467
Dominican Republic,1995,Consumer price index: General,23.2046
Dominican Republic,2005,Consumer price index: General,73.3837
Dominican Republic,2010,Consumer price index: General,100
Dominican Republic,2015,Consumer price index: General,122.4511
Dominican Republic,2016,Consumer price index: General,124.4277
Dominican Republic,2017,Consumer price index: General,128.5084
Dominican Republic,2018,Consumer price index: General,133.089
Dominican Republic,2005,Consumer price index: Food,74.607
Dominican Republic,2010,Consumer price index: Food,100
Dominican Republic,2015,Consumer price index: Food,133.0134
Dominican Republic,2016,Consumer price index: Food,135.8732
Dominican Republic,2017,Consumer price index: Food,139.0165
Dominican Republic,2018,Consumer price index: Food,144.0337
Ecuador,1995,Consumer price index: General,6.9239
Ecuador,2005,Consumer price index: General,80.1829
Ecuador,2010,Consumer price index: General,100
Ecuador,2015,Consumer price index: General,121.4763
Ecuador,2016,Consumer price index: General,123.5757
Ecuador,2017,Consumer price index: General,124.0914
Ecuador,2018,Consumer price index: General,123.8133
Ecuador,2005,Consumer price index: Food,70.6638
Ecuador,2010,Consumer price index: Food,100
